id,propertyRecordId,address,paon,saon,street,locality,town,postcode,district,propertyType,estateId,estate,estateClassification,estateType,estateRuleId,estateRegistryVersion,estateEvidenceStatus,estateReviewStatus,price,date,market,category
lr-f2d462f2bf55064a939b,property:14 OXSHOTT WAY COBHAM KT11 2RT|KT112RT,"14, OXSHOTT WAY, COBHAM, KT11 2RT",14,,OXSHOTT WAY,,COBHAM,KT11 2RT,Elmbridge,Detached,oxshott-way-estate,Oxshott Way Estate,A,traditional_private_estate,pe:oxshott-way-estate:oxshott-way:whole,surrey-private-estates-2026-07-22-corrected-6,verified,ready,2385000,2009-12-23,elmbridge-prime,A
lr-dcf44e9f48c44b33d63c,property:DEERS HILL SUTTON LANE ABINGER HAMMER DORKING RH5 6PS|RH56PS,"DEERS HILL, SUTTON LANE, ABINGER HAMMER, DORKING, RH5 6PS",DEERS HILL,,SUTTON LANE,ABINGER HAMMER,DORKING,RH5 6PS,Mole Valley,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2950000,2009-12-17,mole-valley,A
lr-1d6c3c19f72a6b00a518,property:MOONFLEET FAIROAK LANE OXSHOTT LEATHERHEAD KT22 0TW|KT220TW,"MOONFLEET, FAIROAK LANE, OXSHOTT, LEATHERHEAD, KT22 0TW",MOONFLEET,,FAIROAK LANE,OXSHOTT,LEATHERHEAD,KT22 0TW,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2360000,2009-12-17,elmbridge-prime,A
lr-b859e2228a8c52678f9d,property:PINEHURST FIRWOOD ROAD VIRGINIA WATER GU25 4NG|GU254NG,"PINEHURST, FIRWOOD ROAD, VIRGINIA WATER, GU25 4NG",PINEHURST,,FIRWOOD ROAD,,VIRGINIA WATER,GU25 4NG,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:firwood-road:whole,surrey-private-estates-2026-07-22-corrected-6,verified,partial_ready,2875000,2009-12-11,runnymede-wentworth,A
lr-c4a3f482917a9249bcba,property:CASA SARA HEATHERSIDE DRIVE VIRGINIA WATER GU25 4JU|GU254JU,"CASA SARA, HEATHERSIDE DRIVE, VIRGINIA WATER, GU25 4JU",CASA SARA,,HEATHERSIDE DRIVE,,VIRGINIA WATER,GU25 4JU,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:heatherside-drive:whole,surrey-private-estates-2026-07-22-corrected-6,verified,partial_ready,13800000,2009-12-09,runnymede-wentworth,A
lr-2d79d138f1321f0f6fb6,property:OUT OF TOWN SPRINGFIELD ROAD CAMBERLEY GU15 1AE|GU151AE,"OUT OF TOWN, SPRINGFIELD ROAD, CAMBERLEY, GU15 1AE",OUT OF TOWN,,SPRINGFIELD ROAD,,CAMBERLEY,GU15 1AE,Surrey Heath,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2227800,2009-12-09,surrey-heath,A
lr-ba38805ac885b7f4aa1e,property:MEDOMSLEY CAMP END ROAD WEYBRIDGE KT13 0NU|KT130NU,"MEDOMSLEY, CAMP END ROAD, WEYBRIDGE, KT13 0NU",MEDOMSLEY,,CAMP END ROAD,,WEYBRIDGE,KT13 0NU,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:camp-end-road:whole,surrey-private-estates-2026-07-22-corrected-6,verified,partial_ready,2570000,2009-12-08,elmbridge-prime,A
lr-d9b69f26f8c4200aa614,property:BLENHEIM HOUSE 19 SANDOWN ROAD ESHER KT10 9TT|KT109TT,"BLENHEIM HOUSE, 19, SANDOWN ROAD, ESHER, KT10 9TT","BLENHEIM HOUSE, 19",,SANDOWN ROAD,,ESHER,KT10 9TT,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2450000,2009-12-08,elmbridge-prime,A
lr-cbc7dd622de29fb05949,property:CHINTHURST GRANGE CHINTHURST LANE WONERSH GUILDFORD GU5 0QH|GU50QH,"CHINTHURST GRANGE, CHINTHURST LANE, WONERSH, GUILDFORD, GU5 0QH",CHINTHURST GRANGE,,CHINTHURST LANE,WONERSH,GUILDFORD,GU5 0QH,Guildford,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,8700000,2009-11-27,guildford-district,A
lr-a2ea30a8bced4d5bd428,property:GREEN OAK 4A EATON PARK COBHAM KT11 2JE|KT112JE,"GREEN OAK, 4A, EATON PARK, COBHAM, KT11 2JE","GREEN OAK, 4A",,EATON PARK,,COBHAM,KT11 2JE,Elmbridge,Detached,eaton-park,Eaton Park,A,traditional_private_estate,pe:eaton-park:eaton-park:whole,surrey-private-estates-2026-07-22-corrected-6,verified,ready,2750000,2009-11-20,elmbridge-prime,A
lr-aa04a3939aa7d75bfcef,property:COMBE RISE MUNSTEAD HEATH ROAD GODALMING GU8 4AR|GU84AR,"COMBE RISE, MUNSTEAD HEATH ROAD, GODALMING, GU8 4AR",COMBE RISE,,MUNSTEAD HEATH ROAD,,GODALMING,GU8 4AR,Waverley,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,4505000,2009-11-17,waverley-south-surrey,A
lr-6dc46ea6137404caee17,property:25A BROADWATER CLOSE HERSHAM WALTON ON THAMES KT12 5DD|KT125DD,"25A, BROADWATER CLOSE, HERSHAM, WALTON-ON-THAMES, KT12 5DD",25A,,BROADWATER CLOSE,HERSHAM,WALTON-ON-THAMES,KT12 5DD,Elmbridge,Detached,burwood-park,Burwood Park,A,traditional_private_estate,pe:burwood-park:broadwater-close:whole,surrey-private-estates-2026-07-22-corrected-6,verified,ready,3100000,2009-11-16,elmbridge-prime,A
lr-ee1a5f68f9a0dd5742b2,property:LEA GATE HOUSE BROOKWELL LANE BRAMLEY GUILDFORD GU5 0LQ|GU50LQ,"LEA GATE HOUSE, BROOKWELL LANE, BRAMLEY, GUILDFORD, GU5 0LQ",LEA GATE HOUSE,,BROOKWELL LANE,BRAMLEY,GUILDFORD,GU5 0LQ,Waverley,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2950000,2009-11-13,waverley-south-surrey,A
lr-e28c5d0651e1279127ee,property:33 MEADWAY ESHER KT10 9HG|KT109HG,"33, MEADWAY, ESHER, KT10 9HG",33,,MEADWAY,,ESHER,KT10 9HG,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,4175000,2009-11-12,elmbridge-prime,A
lr-773b8290910f5496c458,property:HILLVIEW YAFFLE ROAD WEYBRIDGE KT13 0QF|KT130QF,"HILLVIEW, YAFFLE ROAD, WEYBRIDGE, KT13 0QF",HILLVIEW,,YAFFLE ROAD,,WEYBRIDGE,KT13 0QF,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:yaffle-road:whole,surrey-private-estates-2026-07-22-corrected-6,verified,partial_ready,7600000,2009-11-06,elmbridge-prime,A
lr-407ad0d8c38b672f2227,property:RAVENSCROFT HEATHER CLOSE KINGSWOOD TADWORTH KT20 6NY|KT206NY,"RAVENSCROFT, HEATHER CLOSE, KINGSWOOD, TADWORTH, KT20 6NY",RAVENSCROFT,,HEATHER CLOSE,KINGSWOOD,TADWORTH,KT20 6NY,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2250000,2009-11-06,reigate-banstead,A
lr-8f9a95546925a7f98784,property:MARCHWOOD HOUSE GUILDFORD ROAD FETCHAM LEATHERHEAD KT22 9DS|KT229DS,"MARCHWOOD HOUSE, GUILDFORD ROAD, FETCHAM, LEATHERHEAD, KT22 9DS",MARCHWOOD HOUSE,,GUILDFORD ROAD,FETCHAM,LEATHERHEAD,KT22 9DS,Mole Valley,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2475000,2009-11-05,mole-valley,A
lr-0374cf3c0879c7c6ab57,property:WOODWAY FAIRMILE PARK ROAD COBHAM KT11 2PG|KT112PG,"WOODWAY, FAIRMILE PARK ROAD, COBHAM, KT11 2PG",WOODWAY,,FAIRMILE PARK ROAD,,COBHAM,KT11 2PG,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2250000,2009-10-29,elmbridge-prime,A
lr-da0d5930f963d29dc5a6,property:MALVERN HOUSE 19 EATON PARK ROAD COBHAM KT11 2JJ|KT112JJ,"MALVERN HOUSE, 19, EATON PARK ROAD, COBHAM, KT11 2JJ","MALVERN HOUSE, 19",,EATON PARK ROAD,,COBHAM,KT11 2JJ,Elmbridge,Detached,eaton-park,Eaton Park,A,traditional_private_estate,pe:eaton-park:eaton-park-road:whole,surrey-private-estates-2026-07-22-corrected-6,verified,ready,2135333,2009-10-29,elmbridge-prime,A
lr-1d36751b5775fb62a1da,property:12 ESHER PLACE AVENUE ESHER KT10 8PY|KT108PY,"12, ESHER PLACE AVENUE, ESHER, KT10 8PY",12,,ESHER PLACE AVENUE,,ESHER,KT10 8PY,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2322000,2009-10-28,elmbridge-prime,A
lr-b580b96bc43db77227f0,property:DANUM HOUSE THE FAIRWAY WORPLESDON GUILDFORD GU3 3QE|GU33QE,"DANUM HOUSE, THE FAIRWAY, WORPLESDON, GUILDFORD, GU3 3QE",DANUM HOUSE,,THE FAIRWAY,WORPLESDON,GUILDFORD,GU3 3QE,Woking,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2200000,2009-10-28,woking-district,A
lr-743d723349cbedd2a4c0,property:GARDENERS COTTAGE CUTT MILL HOUSE SUFFIELD LANE PUTTENHAM GUILDFORD GU3 1BG|GU31BG,"GARDENERS COTTAGE, CUTT MILL HOUSE, SUFFIELD LANE, PUTTENHAM, GUILDFORD, GU3 1BG",CUTT MILL HOUSE,GARDENERS COTTAGE,SUFFIELD LANE,PUTTENHAM,GUILDFORD,GU3 1BG,Guildford,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2980000,2009-10-27,guildford-district,A
lr-45da2a6fd60648073f09,property:1 ROSEBRIARS ESHER KT10 9NN|KT109NN,"1, ROSEBRIARS, ESHER, KT10 9NN",1,,ROSEBRIARS,,ESHER,KT10 9NN,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2600000,2009-10-26,elmbridge-prime,A
lr-4a832dc6e562a1238e94,property:CONNAUGHT HOUSE CHRISTCHURCH ROAD VIRGINIA WATER GU25 4RW|GU254RW,"CONNAUGHT HOUSE, CHRISTCHURCH ROAD, VIRGINIA WATER, GU25 4RW",CONNAUGHT HOUSE,,CHRISTCHURCH ROAD,,VIRGINIA WATER,GU25 4RW,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,5250000,2009-10-23,runnymede-wentworth,A
lr-697c82d04276eaeef68a,property:BELGRAVE HOUSE 37 PRINCES DRIVE OXSHOTT LEATHERHEAD KT22 0UL|KT220UL,"BELGRAVE HOUSE, 37, PRINCES DRIVE, OXSHOTT, LEATHERHEAD, KT22 0UL","BELGRAVE HOUSE, 37",,PRINCES DRIVE,OXSHOTT,LEATHERHEAD,KT22 0UL,Elmbridge,Detached,crown-estate-oxshott,"Crown Estate, Oxshott",A,traditional_private_estate,pe:crown-estate-oxshott:prince-s-drive:whole,surrey-private-estates-2026-07-22-corrected-6,verified_multi_source,partial_ready,2005000,2009-10-23,elmbridge-prime,A
lr-98d37de032d6defa83c5,property:LITTLE COURT WELLINGTON AVENUE VIRGINIA WATER GU25 4QN|GU254QN,"LITTLE COURT, WELLINGTON AVENUE, VIRGINIA WATER, GU25 4QN",LITTLE COURT,,WELLINGTON AVENUE,,VIRGINIA WATER,GU25 4QN,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2050000,2009-10-22,runnymede-wentworth,A
lr-86637890807d5a69385c,property:GROVE HOUSE BAGSHOT ROAD WEST END WOKING GU24 9QS|GU249QS,"GROVE HOUSE, BAGSHOT ROAD, WEST END, WOKING, GU24 9QS",GROVE HOUSE,,BAGSHOT ROAD,WEST END,WOKING,GU24 9QS,Surrey Heath,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,2425000,2009-10-19,surrey-heath,A
lr-7e1380ff87c22b57cf67,property:RIDGEWAY HOUSE RUNWICK FARNHAM GU10 5EE|GU105EE,"RIDGEWAY HOUSE, RUNWICK, FARNHAM, GU10 5EE",RIDGEWAY HOUSE,,,RUNWICK,FARNHAM,GU10 5EE,Waverley,Detached,,,,,,surrey-private-estates-2026-07-22-corrected-6,,,3550000,2009-10-15,waverley-south-surrey,A
lr-aabb8f8a230c0f4cf9d5,property:ORNSAY WOODLANDS ROAD WEST VIRGINIA WATER GU25 4PN|GU254PN,"ORNSAY, WOODLANDS ROAD WEST, VIRGINIA WATER, GU25 4PN",ORNSAY,,WOODLANDS ROAD WEST,,VIRGINIA WATER,GU25 4PN,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:woodlands-road-west:whole,surrey-private-estates-2026-07-22-corrected-6,verified,partial_ready,3000000,2009-10-14,runnymede-wentworth,A
