propertyRecordId,address,paon,saon,street,locality,town,postcode,district,propertyType,estateId,estate,estateClassification,estateType,estateRuleId,estateRegistryVersion,estateEvidenceStatus,estateReviewStatus,price,date,market,category
property:WOODLANDS HOUSE HILLVIEW ROAD CLAYGATE ESHER KT10 0TU|KT100TU,"WOODLANDS HOUSE, HILLVIEW ROAD, CLAYGATE, ESHER, KT10 0TU",WOODLANDS HOUSE,,HILLVIEW ROAD,CLAYGATE,ESHER,KT10 0TU,Elmbridge,Detached,ruxley-heights,Ruxley Heights,A,traditional_private_estate,pe:ruxley-heights:hillview-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,2499999,2026-05-08,elmbridge-prime,A
property:CARTREF 7 ESHER PARK AVENUE ESHER KT10 9NP|KT109NP,"CARTREF, 7, ESHER PARK AVENUE, ESHER, KT10 9NP","CARTREF, 7",,ESHER PARK AVENUE,,ESHER,KT10 9NP,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3500000,2026-05-06,elmbridge-prime,A
property:YAFFLE HILL YAFFLE ROAD WEYBRIDGE KT13 0QF|KT130QF,"YAFFLE HILL, YAFFLE ROAD, WEYBRIDGE, KT13 0QF",YAFFLE HILL,,YAFFLE ROAD,,WEYBRIDGE,KT13 0QF,Elmbridge,Terraced,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:yaffle-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,4945000,2026-04-24,elmbridge-prime,A
property:TOKAI WOODLAND WAY KINGSWOOD TADWORTH KT20 6NX|KT206NX,"TOKAI, WOODLAND WAY, KINGSWOOD, TADWORTH, KT20 6NX",TOKAI,,WOODLAND WAY,KINGSWOOD,TADWORTH,KT20 6NX,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2600000,2026-04-24,reigate-banstead,A
property:FAIROAKS LODGE PACHESHAM PARK LEATHERHEAD KT22 0DJ|KT220DJ,"FAIROAKS LODGE, PACHESHAM PARK, LEATHERHEAD, KT22 0DJ",FAIROAKS LODGE,,PACHESHAM PARK,,LEATHERHEAD,KT22 0DJ,Mole Valley,Detached,pachesham-park,Pachesham Park,A,traditional_private_estate,pe:pachesham-park:pachesham-park:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,5750000,2026-04-16,mole-valley,A
property:23 HIGH TREES ROAD REIGATE RH2 7EH|RH27EH,"23, HIGH TREES ROAD, REIGATE, RH2 7EH",23,,HIGH TREES ROAD,,REIGATE,RH2 7EH,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2150000,2026-04-10,reigate-banstead,A
property:62 HORSESHOE LANE EAST GUILDFORD GU1 2TL|GU12TL,"62, HORSESHOE LANE EAST, GUILDFORD, GU1 2TL",62,,HORSESHOE LANE EAST,,GUILDFORD,GU1 2TL,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2390000,2026-03-27,guildford-district,A
property:GABLE END FOXBURROW HILL ROAD BRAMLEY GUILDFORD GU5 0BU|GU50BU,"GABLE END, FOXBURROW HILL ROAD, BRAMLEY, GUILDFORD, GU5 0BU",GABLE END,,FOXBURROW HILL ROAD,BRAMLEY,GUILDFORD,GU5 0BU,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3099000,2026-03-13,waverley-south-surrey,A
property:LITTLE BRIDLEY BERRY LANE WORPLESDON GUILDFORD GU3 3QF|GU33QF,"LITTLE BRIDLEY, BERRY LANE, WORPLESDON, GUILDFORD, GU3 3QF",LITTLE BRIDLEY,,BERRY LANE,WORPLESDON,GUILDFORD,GU3 3QF,Woking,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2900000,2026-03-12,woking-district,A
property:MIDSUMMERS MARK WAY GODALMING GU7 2BD|GU72BD,"MIDSUMMERS, MARK WAY, GODALMING, GU7 2BD",MIDSUMMERS,,MARK WAY,,GODALMING,GU7 2BD,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2400000,2026-03-12,waverley-south-surrey,A
property:ST MARYS SCHOOL LANE SHACKLEFORD GODALMING GU8 6AZ|GU86AZ,"ST MARYS, SCHOOL LANE, SHACKLEFORD, GODALMING, GU8 6AZ",ST MARYS,,SCHOOL LANE,SHACKLEFORD,GODALMING,GU8 6AZ,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4250000,2026-03-09,guildford-district,B
property:81 BOUNDSTONE ROAD ROWLEDGE FARNHAM GU10 4AT|GU104AT,"81, BOUNDSTONE ROAD, ROWLEDGE, FARNHAM, GU10 4AT",81,,BOUNDSTONE ROAD,ROWLEDGE,FARNHAM,GU10 4AT,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2000000,2026-03-09,waverley-south-surrey,B
property:30 FRENSHAM VALE LOWER BOURNE FARNHAM GU10 3HT|GU103HT,"30, FRENSHAM VALE, LOWER BOURNE, FARNHAM, GU10 3HT",30,,FRENSHAM VALE,LOWER BOURNE,FARNHAM,GU10 3HT,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2650000,2026-03-02,waverley-south-surrey,A
property:KINETON HOUSE HOLLY BANK ROAD WOKING GU22 0JW|GU220JW,"KINETON HOUSE, HOLLY BANK ROAD, WOKING, GU22 0JW",KINETON HOUSE,,HOLLY BANK ROAD,,WOKING,GU22 0JW,Woking,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2460000,2026-02-26,woking-district,A
