address,paon,saon,street,locality,town,postcode,district,propertyType,estateId,estate,estateClassification,estateType,estateRuleId,estateRegistryVersion,estateEvidenceStatus,estateReviewStatus,price,date,market,category
"CARTREF, 7, ESHER PARK AVENUE, ESHER, KT10 9NP","CARTREF, 7",,ESHER PARK AVENUE,,ESHER,KT10 9NP,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3500000,2026-05-06,elmbridge-prime,A
"YAFFLE HILL, YAFFLE ROAD, WEYBRIDGE, KT13 0QF",YAFFLE HILL,,YAFFLE ROAD,,WEYBRIDGE,KT13 0QF,Elmbridge,Terraced,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:yaffle-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,4945000,2026-04-24,elmbridge-prime,A
"FAIROAKS LODGE, PACHESHAM PARK, LEATHERHEAD, KT22 0DJ",FAIROAKS LODGE,,PACHESHAM PARK,,LEATHERHEAD,KT22 0DJ,Mole Valley,Detached,pachesham-park,Pachesham Park,A,traditional_private_estate,pe:pachesham-park:pachesham-park:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,5750000,2026-04-16,mole-valley,A
"GABLE END, FOXBURROW HILL ROAD, BRAMLEY, GUILDFORD, GU5 0BU",GABLE END,,FOXBURROW HILL ROAD,BRAMLEY,GUILDFORD,GU5 0BU,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3099000,2026-03-13,waverley-south-surrey,A
"ST MARYS, SCHOOL LANE, SHACKLEFORD, GODALMING, GU8 6AZ",ST MARYS,,SCHOOL LANE,SHACKLEFORD,GODALMING,GU8 6AZ,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4250000,2026-03-09,guildford-district,B
"WYNWOOD HOUSE, WARREN DRIVE, KINGSWOOD, TADWORTH, KT20 6PY",WYNWOOD HOUSE,,WARREN DRIVE,KINGSWOOD,TADWORTH,KT20 6PY,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2025-12-22,reigate-banstead,A
"SHAMWARI, GORSE HILL ROAD, VIRGINIA WATER, GU25 4AS",SHAMWARI,,GORSE HILL ROAD,,VIRGINIA WATER,GU25 4AS,Runnymede,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3200000,2025-12-08,runnymede-wentworth,A
"17, ICKLINGHAM ROAD, COBHAM, KT11 2NQ",17,,ICKLINGHAM ROAD,,COBHAM,KT11 2NQ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,6609900,2025-11-28,elmbridge-prime,A
"BERESFORD COURT, WESTERHAM ROAD, OXTED, RH8 0SL",BERESFORD COURT,,WESTERHAM ROAD,,OXTED,RH8 0SL,Tandridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3350000,2025-11-25,tandridge-oxted,A
"ROYTON, VANN LANE, HAMBLEDON, GODALMING, GU8 4EB",ROYTON,,VANN LANE,HAMBLEDON,GODALMING,GU8 4EB,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3100000,2025-11-21,waverley-south-surrey,A
"HILL HOUSE, 3, LEIGH COURT, COBHAM, KT11 2HH","HILL HOUSE, 3",,LEIGH COURT,,COBHAM,KT11 2HH,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3250000,2025-11-19,elmbridge-prime,A
"WESTDEEN MANOR, MOUNT ROAD, WOKING, GU22 0PY",WESTDEEN MANOR,,MOUNT ROAD,,WOKING,GU22 0PY,Woking,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3350000,2025-11-18,woking-district,A
"25, PRINCES DRIVE, OXSHOTT, LEATHERHEAD, KT22 0UL",25,,PRINCES DRIVE,OXSHOTT,LEATHERHEAD,KT22 0UL,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4000000,2025-11-14,elmbridge-prime,A
"COPPERFIELDS, WESTWOOD ROAD, WINDLESHAM, GU20 6LX",COPPERFIELDS,,WESTWOOD ROAD,,WINDLESHAM,GU20 6LX,Surrey Heath,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3900000,2025-11-11,surrey-heath,A
"105, FAIRMILE LANE, COBHAM, KT11 2DD",105,,FAIRMILE LANE,,COBHAM,KT11 2DD,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3700000,2025-11-11,elmbridge-prime,B
"THE PINES, QUEENS DRIVE, OXSHOTT, LEATHERHEAD, KT22 0PH",THE PINES,,QUEENS DRIVE,OXSHOTT,LEATHERHEAD,KT22 0PH,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4700000,2025-10-31,elmbridge-prime,B
"LAURELDENE, BEECH AVENUE, EFFINGHAM, LEATHERHEAD, KT24 5PJ",LAURELDENE,,BEECH AVENUE,EFFINGHAM,LEATHERHEAD,KT24 5PJ,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4500000,2025-10-29,guildford-district,A
"24, BIRDS HILL DRIVE, OXSHOTT, LEATHERHEAD, KT22 0SP",24,,BIRDS HILL DRIVE,OXSHOTT,LEATHERHEAD,KT22 0SP,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4000000,2025-10-28,elmbridge-prime,B
"ST AUSTINS, HAMMONDSWOOD ROAD, FRENSHAM, FARNHAM, GU10 3EH",ST AUSTINS,,HAMMONDSWOOD ROAD,FRENSHAM,FARNHAM,GU10 3EH,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3300000,2025-10-15,waverley-south-surrey,A
"14, HOLTWOOD ROAD, OXSHOTT, LEATHERHEAD, KT22 0QJ",14,,HOLTWOOD ROAD,OXSHOTT,LEATHERHEAD,KT22 0QJ,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4835000,2025-10-07,elmbridge-prime,A
"PARKLANDS HOUSE, PARKLANDS, SHERE, GUILDFORD, GU5 9JQ",PARKLANDS HOUSE,,PARKLANDS,SHERE,GUILDFORD,GU5 9JQ,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2025-10-03,guildford-district,A
"19, RIVERSIDE DRIVE, ESHER, KT10 8PG",19,,RIVERSIDE DRIVE,,ESHER,KT10 8PG,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3100000,2025-10-02,elmbridge-prime,A
