URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,BSOInspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),InspectorateName (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,Country (name),UPRN,SiteName,QABName (code),QABName (name),EstablishmentAccredited (code),EstablishmentAccredited (name),QABReport,CHNumber,MSOA (code),LSOA (code),FSM,AccreditationExpiryDate
100209,203,Greenwich,7196,Brantridge School,07,Community special school,5,Special schools,2,Closed,00,Not applicable,,02,Closure,31-12-2002,0,Not applicable,6,14,1,No boarders,Not applicable,0,Not applicable,1,Boys,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,1,Has Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,14-11-2018,Staplefield Place,Staplefield,,Haywards Heath,West Sussex,RH17 6EQ,,,Mr,R,Winn,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,"SEMH - Social, Emotional and Mental Health",,,,,,,,,,,,,,,,,,H,London,E07000228,Mid Sussex,E05007679,Cuckfield,E14000817,Mid Sussex,F1,(England/Wales) Rural hamlet and isolated dwellings,E09000011,527323,128190,Mid Sussex 007,Mid Sussex 007D,,,,,,999,,,,10070642950,,0,Not applicable,0,Not applicable,,,E02006610,E01031727,,
100367,318,Richmond upon Thames,6080,Corona Theatre School,11,Other independent school,3,Independent schools,2,Closed,00,Not applicable,22-10-1957,02,Closure,15-02-2013,0,Not applicable,7,19,1,No boarders,No Nursery Classes,1,Has a sixth form,3,Mixed,06,None,None,0000,Not applicable,0,Not applicable,96,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not applicable,,,10031792,,Not applicable,09-07-2019,The Gatehouse,Kingsway Business Park,Oldfield Road,Hampton,Middlesex,TW12 2HD,,,,Mary,Greco,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000027,Richmond upon Thames,E05000520,Hampton,E14001005,Twickenham,A1,(England/Wales) Urban major conurbation,E09000027,512858,169744,Richmond upon Thames 023,Richmond upon Thames 023E,Ofsted,1,0,,Mary Greco,205,Hammersmith and Fulham,6002,,10070709795,,0,Not applicable,0,Not applicable,,,E02000806,E01003826,,
100528,936,Surrey,6016,St James Senior Boys' School,11,Other independent school,3,Independent schools,1,Open,00,Not applicable,30-05-1975,00,Not applicable,,0,Not applicable,11,18,1,No boarders,No Nursery Classes,1,Has a sixth form,1,Boys,06,None,Inter- / non- denominational,0000,Not applicable,0,Not applicable,390,2,No Special Classes,15-01-2026,244,244,0,,0,Not applicable,,,Not applicable,,Not applicable,,,10017682,,Not applicable,29-06-2026,Church Road,,,Ashford,Surrey,TW15 3DZ,www.stjamesschools.co.uk/seniorboys,01784266930,Mr,Richard,Clarke,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,J,South East,E07000213,Spelthorne,E05007364,Ashford North and Stanwell South,E14001505,Spelthorne,UN1,Urban: Nearer to a major town or city,E10000030,506562,172173,Spelthorne 003,Spelthorne 003A,ISI,6,178,Does not have boarders,Jeremy Sinclair,318,Richmond upon Thames,6080,,33034812,,0,Not applicable,0,Not applicable,,,E02006405,E01030707,,
100658,208,Lambeth,7101,Warnham Court School,07,Community special school,5,Special schools,2,Closed,00,Not applicable,,00,Not applicable,01-08-1996,0,Not applicable,11,16,1,No boarders,Not applicable,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,1,Has Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Warnham,,,Horsham,West Sussex,RH12 3RX,,,,,,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E07000227,Horsham,E05011822,"Itchingfield, Slinfold & Warnham",E14000753,Horsham,F1,(England/Wales) Rural hamlet and isolated dwellings,E09000022,515908,133010,Horsham 003,Horsham 003D,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006590,E01031658,,
101096,212,Wandsworth,7081,Burrow Hill School,07,Community special school,5,Special schools,2,Closed,00,Not applicable,,00,Not applicable,31-08-1998,0,Not applicable,8,16,1,No boarders,Not applicable,0,Not applicable,1,Boys,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,1,Has Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,St Catherine's Road,Frimley,,Camberley,Surrey,GU16 8NL,,,Mr,S,Jones,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E07000214,Surrey Heath,E05012028,Frimley,E14000983,Surrey Heath,C1,(England/Wales) Urban city and town,E09000032,488937,158065,Surrey Heath 010,Surrey Heath 010D,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02006425,E01030769,,
101703,306,Croydon,1001,Coulsdon Nursery School,15,Local authority nursery school,4,Local authority maintained schools,2,Closed,00,Not applicable,,02,Closure,20-12-2017,1,Nursery,3,5,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,0,Not applicable,19-01-2017,56,30,25,0,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-11-2019,Linden Avenue,,,Coulsdon,Surrey,CR5 3BT,,,Mr,Mark,Rosewell,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000008,Croydon,E05011466,Coulsdon Town,E14000656,Croydon South,A1,(England/Wales) Urban major conurbation,E09000008,528877,159432,Croydon 043,Croydon 043C,,,,,,999,,,,100022914732,,0,Not applicable,0,Not applicable,,,E02000236,E01001025,0,
101704,306,Croydon,1002,Purley Nursery School,15,Local authority nursery school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,1,Nursery,2,5,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,0,Not applicable,15-01-2026,87,40,47,.00,0,Not applicable,,,Not applicable,,Supported by a federation,16658,Purley Partnership Federation,,,Not applicable,29-06-2026,58 Pampisford Road,,,Purley,Surrey,CR8 2NE,www.purley.croydon.sch.uk,02086605639,Mrs,Maria,Reeve,Head of School,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,Not Applicable,,,,,,,,,,,,,Resourced provision,109,120,,,H,London,E09000008,Croydon,E05011476,Purley & Woodcote,E14001187,Croydon South,UN1,Urban: Nearer to a major town or city,E09000008,531478,161952,Croydon 037,Croydon 037C,,,,,,999,,,,100023536360,,0,Not applicable,0,Not applicable,,,E02000230,E01001093,0,
101705,306,Croydon,1003,Tunstall Nursery School,15,Local authority nursery school,4,Local authority maintained schools,1,Open,00,Not applicable,,00,Not applicable,,1,Nursery,2,5,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,0,Not applicable,15-01-2026,70,35,35,.00,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,29-06-2026,Tunstall Road,,,Croydon,Surrey,CR0 6TY,www.tunstall.croydon.sch.uk,02086540371,Ms,Jane,Charman,Executive Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000008,Croydon,E05011463,Addiscombe West,E14001186,Croydon East,UN1,Urban: Nearer to a major town or city,E09000008,533445,166142,Croydon 022,Croydon 022E,,,,,,999,,,,200001210252,,0,Not applicable,0,Not applicable,,,E02000215,E01000979,0,
101706,306,Croydon,1100,Saffron Valley Collegiate,14,Pupil referral unit,4,Local authority maintained schools,2,Closed,00,Not applicable,,10,Academy Converter,30-04-2024,0,Not applicable,4,16,1,No boarders,Not applicable,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,0,Not applicable,18-01-2024,84,37,47,54.80,0,Not applicable,,,Not applicable,,Not applicable,,,10017076,,Not applicable,08-07-2024,279 High Street,,,Croydon,Surrey,CR0 1QH,,,Mrs,Gill,LaRocque,Headteacher,Not applicable,,,,Provides places for Teen Mothers,20,Not applicable,PRU Does have Provision for SEN,PRU Does have EBD provision,,PRU offers full time provision,PRU does offer tuition by another provider,Not applicable,,,,,,,,,,,,,,,,,,,H,London,E09000008,Croydon,E05011468,Fairfield,E14000654,Croydon Central,A1,(England/Wales) Urban major conurbation,E09000008,532429,164957,Croydon 046,Croydon 046E,,,,,,999,,,,200001186371,,0,Not applicable,0,Not applicable,,,E02006987,E01034151,46,
101707,306,Croydon,1101,Victoria House PRU,14,Pupil referral unit,4,Local authority maintained schools,2,Closed,00,Not applicable,,01,Result of Amalgamation/Merger,01-01-2014,0,Not applicable,5,11,1,No boarders,Not applicable,0,Not applicable,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,,0,Not applicable,,,,,,0,Not applicable,,,Not applicable,,Not applicable,,,,,Not applicable,29-11-2019,Southbridge Place,Victoria House,Southbridge Place,Croydon,Surrey,CR0 4HA,,,Mrs,Sue,Welling,Head Teacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,ASD - Autistic Spectrum Disorder,"SEMH - Social, Emotional and Mental Health",MLD - Moderate Learning Difficulty,,,,,,,,,,,SEN unit,,,25,30,H,London,E09000008,Croydon,E05011487,Waddon,E14000656,Croydon South,A1,(England/Wales) Urban major conurbation,E09000008,531998,164894,Croydon 024,Croydon 024D,,,,,,999,,,,,,0,Not applicable,0,Not applicable,,,E02000217,E01001166,,
